11/01/21 1:38
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   12675	67398	                   409448	                   459903	                98	
Restants :                 	    7392	36267	                   239623	                   265740	                96	
Segments uniques :         	    7139	54367	                   296009	                   338950	                98	
Segments uniques restants :	    3422	25169	                   137169	                   157403	                96	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Beta/scenario_dlc/DigitalAge/Buying_Spree.txt                       	            53	               53	              52	                       52	       269	          269	         269	                  269	                           1655	                              1655	                             1584	                                      1584	                           1831	                              1831	                             1760	                                      1760	
Beta/scenario_dlc/DigitalAge/Digital_Supremacy.txt                  	            60	               60	              26	                       26	       286	          286	         184	                  184	                           1882	                              1882	                             1109	                                      1109	                           2061	                              2061	                             1241	                                      1241	
Release/challenge/CHALE001.txt                                      	             7	                7	               6	                        6	        67	           67	          65	                   65	                            339	                               339	                              324	                                       324	                            390	                               390	                              374	                                       374	
Release/challenge/CHALE002.txt                                      	             7	                7	               4	                        4	        81	           81	          70	                   70	                            426	                               426	                              360	                                       360	                            490	                               490	                              420	                                       420	
Release/font/Notice.html                                            	            65	               65	              64	                       64	      1465	         1465	        1465	                 1465	                           7991	                              7991	                             7991	                                      7991	                           9381	                              9381	                             9381	                                      9381	
Release/MOD/Readme.txt                                              	             6	                6	               6	                        6	       123	          123	         123	                  123	                            579	                               579	                              579	                                       579	                            695	                               695	                              695	                                       695	
Release/MOD_kit/How to use MOD Kit.txt                              	             4	                4	               4	                        4	        64	           64	          64	                   64	                            322	                               322	                              322	                                       322	                            377	                               377	                              377	                                       377	
Release/music/Readme.txt                                            	            14	               12	              14	                       12	       157	          155	         157	                  155	                            778	                               774	                              778	                                       774	                            913	                               909	                              913	                                       909	
Release/scenario/breakthrough_in_training.txt                       	            73	               73	              29	                       29	       366	          366	         235	                  235	                           2515	                              2515	                             1397	                                      1397	                           2762	                              2762	                             1582	                                      1582	
Release/scenario/China_opening_up.txt                               	            79	               79	              35	                       35	       397	          397	         265	                  265	                           2459	                              2459	                             1464	                                      1464	                           2728	                              2728	                             1673	                                      1673	
Release/scenario/corporate_leadership.txt                           	           138	              138	              58	                       58	       761	          761	         423	                  423	                           4671	                              4671	                             2274	                                      2274	                           5196	                              5196	                             2588	                                      2588	
Release/scenario/Dilemma_of_a_Camera_Manufacturer.txt               	            76	               76	              30	                       30	       409	          409	         269	                  269	                           2655	                              2655	                             1558	                                      1558	                           2940	                              2940	                             1776	                                      1776	
Release/scenario/Family_farm_business.txt                           	            84	               84	              28	                       28	       409	          409	         242	                  242	                           2544	                              2544	                             1318	                                      1318	                           2817	                              2817	                             1513	                                      1513	
Release/scenario/fashion_venture.txt                                	           110	              110	              47	                       47	       570	          570	         392	                  392	                           3566	                              3566	                             2089	                                      2089	                           3958	                              3958	                             2396	                                      2396	
